provOrigin,destination,total,nbr_pourcentage
AB,NL,2893,4
AB,NU,152,0
AB,PE,399,0
AB,NS,2477,4
AB,NB,1813,2
AB,QC,2236,3
AB,ON,15347,24
AB,MB,3622,5
AB,SK,9526,15
AB,CB,22693,36
AB,YT,262,0
AB,NT,455,0
CB,NU,196,0
CB,NT,344,0
CB,YT,441,0
CB,AB,29035,54
CB,SK,3684,6
CB,MB,2274,4
CB,ON,12197,23
CB,QC,2132,4
CB,NB,532,1
CB,NS,1352,2
CB,PE,245,0
CB,NL,389,0
MB,SK,2603,14
MB,PE,45,0
MB,NS,269,1
MB,NB,226,1
MB,QC,605,3
MB,ON,4648,25
MB,NL,233,1
MB,AB,6389,35
MB,CB,2935,16
MB,YT,4,0
MB,NT,54,0
MB,NU,109,0
NB,NL,419,2
NB,PE,423,2
NB,NS,2155,15
NB,QC,1475,10
NB,ON,3787,26
NB,MB,242,1
NB,SK,285,2
NB,AB,4384,30
NB,CB,931,6
NB,YT,35,0
NB,NT,36,0
NB,NU,69,0
NS,NL,1124,6
NS,PE,489,2
NS,NB,2601,13
NS,QC,580,3
NS,ON,5644,30
NS,MB,308,1
NS,SK,451,2
NS,AB,5730,30
NS,CB,1421,7
NS,YT,49,0
NS,NT,184,0
NS,NU,28,0
NU,YT,9,0
NU,CB,56,5
NU,AB,213,19
NU,SK,45,4
NU,MB,109,9
NU,ON,394,35
NU,QC,53,4
NU,NB,16,1
NU,NS,71,6
NU,PE,17,1
NU,NL,49,4
NU,NT,73,6
ON,NU,359,0
ON,NT,405,0
ON,YT,234,0
ON,CB,12907,15
ON,AB,34607,41
ON,SK,4144,4
ON,MB,4221,5
ON,QC,14693,17
ON,NB,3140,3
ON,NS,5175,6
ON,PE,1054,1
ON,NL,2629,3
QC,NS,936,2
QC,NB,1529,4
QC,ON,20841,58
QC,MB,621,1
QC,SK,525,1
QC,NL,263,0
QC,AB,7312,20
QC,CB,2931,8
QC,YT,98,0
QC,NT,29,0
QC,NU,250,0
QC,PE,225,0
SK,NT,100,0
SK,YT,80,0
SK,CB,3154,15
SK,AB,10751,52
SK,MB,2068,10
SK,QC,355,1
SK,NB,139,0
SK,NS,256,1
SK,PE,64,0
SK,NL,68,0
SK,ON,3393,16
SK,NU,13,0
NL,NS,1149,11
NL,NB,429,4
NL,QC,322,3
NL,ON,2344,23
NL,MB,137,1
NL,SK,203,2
NL,AB,4458,44
NL,CB,548,5
NL,YT,6,0
NL,NT,85,0
NL,NU,114,1
NL,PE,160,1
NT,NB,68,2
NT,NU,47,1
NT,YT,255,9
NT,CB,397,15
NT,AB,1048,40
NT,SK,136,5
NT,NL,19,0
NT,ON,358,13
NT,QC,98,3
NT,NS,131,5
NT,PE,0,0
NT,MB,10,0
YT,NU,20,1
YT,NT,120,6
YT,CB,793,42
YT,PE,0,0
YT,AB,269,14
YT,SK,91,4
YT,MB,8,0
YT,ON,294,15
YT,QC,157,8
YT,NB,21,1
YT,NS,70,3
YT,NL,15,0
PE,NL,53,1
PE,NB,688,17
PE,QC,226,5
PE,ON,1282,31
PE,MB,35,0
PE,SK,116,2
PE,AB,840,20
PE,CB,183,4
PE,YT,10,0
PE,NT,0,0
PE,NU,42,1
PE,NS,543,13
